기준,BUDAT_NM,날짜1,날짜2,날짜수식전환,월주,주,요일,월,COURSE_CD,local_code,PK_CUST_CD,CUST_NM,지역,주소,구,X,Y,ITEM_CD,ITEM_NM,QCT_NO,STD_PACK_QTY,총량,BOX,낱개,TRP_TYP,TRP_CUST_CD,수제구분,CBM
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,고양-46,1010082,약손약국,경기,경기 고양시 덕양구 토당동 252-2,고양시,126.8179281,37.62646072,5000004,까스활명수큐액 75ML(50),K096,120,120,1,0,Y,고려택배,X,0.027
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-630,1010197,새원약국,서울,서울 중구 명동2가 2-13,중구 ,126.9857151,37.56339474,5000012,부채표쌍화탕 100ML,K042,100,100,1,0,Y,고려택배,X,0.027
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-643,1010252,희구약국,서울,서울 중구 남창동 48-10,중구 ,126.9773559,37.55850432,5000004,까스활명수큐액 75ML(50),K096,120,360,3,0,Y,고려택배,X,0.081
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-643,1010252,희구약국,서울,서울 중구 남창동 48-10,중구 ,126.9773559,37.55850432,5000012,부채표쌍화탕 100ML,K042,100,300,3,0,Y,고려택배,X,0.081
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-348,1010268,호정약국,서울,"서울 마포구 효창원로 248-3 (공덕동), 1층",마포구,126.963656,37.54935985,5000004,까스활명수큐액 75ML(50),K096,120,360,3,0,Y,고려택배,X,0.081
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-546,1010293,동부약국,서울,서울 용산구 이촌동 301-145,용산구,126.9743364,37.52037144,5000004,까스활명수큐액 75ML(50),K096,120,120,1,0,Y,고려택배,X,0.027
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-641,1010305,한일약국,서울,서울 중구 서소문동 54-1,중구 ,126.9731855,37.56301072,5000039,부채표쌍화천 100ML,K129,100,100,1,0,Y,고려택배,X,0.027
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-641,1010305,한일약국,서울,서울 중구 서소문동 54-1,중구 ,126.9731855,37.56301072,5001928,미인활명수액 75mL,K002,120,120,1,0,Y,고려택배,X,0.027
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-579,1010361,신보광사약국,서울,"서울 은평구 통일로 725-2 (대조동, 1층)",은평구,126.9296928,37.61033878,5000039,부채표쌍화천 100ML,K129,100,500,5,0,Y,고려택배,X,0.135
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-579,1010361,신보광사약국,서울,"서울 은평구 통일로 725-2 (대조동, 1층)",은평구,126.9296928,37.61033878,5000070,비타천플러스 100ML,K080,100,200,2,0,Y,고려택배,X,0.054
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,고양-4,1010558,경원약국,경기,"경기 고양시 일산동구 동국로 26 (식사동1층, 1호)",고양시,126.8075768,37.67646032,5000004,까스활명수큐액 75ML(50),K096,120,120,1,0,Y,고려택배,X,0.027
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,파주-18,1010740,운정뜰약국,경기,경기 파주시 동패동 파주운정지구F2-5블럭(주)이마트내3층,파주시,126.7260298,37.71508015,5000004,까스활명수큐액 75ML(50),K096,120,480,4,0,Y,고려택배,X,0.108
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-419,1010752,스마일온누리약국,서울,서울 성동구 성수2가1동 333-16 이마트성수점 3층,성동구,127.0529732,37.53970053,5000004,까스활명수큐액 75ML(50),K096,120,360,3,0,Y,고려택배,X,0.081
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-334,1010832,연세한우리약국,서울,서울 마포구 신수동 66-2,마포구,126.9334995,37.55229188,5000004,까스활명수큐액 75ML(50),K096,120,600,5,0,Y,고려택배,X,0.135
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-367,1010941,한사랑온누리약국,서울,서울 서대문구 대현동 45-9 유보빌딩 1층,서대문,126.9462434,37.55705261,5000039,부채표쌍화천 100ML,K129,100,100,1,0,Y,고려택배,X,0.027
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-550,1011280,삼정약국,서울,서울 용산구 원효로3가 255-2,용산구,126.955816,37.53347965,5000004,까스활명수큐액 75ML(50),K096,120,120,1,0,Y,고려택배,X,0.027
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-550,1011280,삼정약국,서울,서울 용산구 원효로3가 255-2,용산구,126.955816,37.53347965,5000012,부채표쌍화탕 100ML,K042,100,200,2,0,Y,고려택배,X,0.054
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-555,1011352,용약국,서울,서울 용산구 한남1동 644-5,용산구,127.013126,37.53854227,5000039,부채표쌍화천 100ML,K129,100,100,1,0,Y,고려택배,X,0.027
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-317,1011379,효성약국,서울,서울 동작구 상도동 370-2,동작구,126.9388028,37.50495435,5000004,까스활명수큐액 75ML(50),K096,120,240,2,0,Y,고려택배,X,0.054
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-213,1011609,고성희약국,서울,서울 금천구 시흥동 926-13,금천구,126.9088005,37.44847533,5000004,까스활명수큐액 75ML(50),K096,120,360,3,0,Y,고려택배,X,0.081
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-575,1011779,성환약국,서울,서울 은평구 역촌동 37-1,은평구,126.9183762,37.60251741,5000004,까스활명수큐액 75ML(50),K096,120,360,3,0,Y,고려택배,X,0.081
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,고양-5,1011836,고봉약국,경기,경기 고양시 일산동구 공릉천로 32,고양시,126.8446764,37.69623101,5000004,까스활명수큐액 75ML(50),K096,120,240,2,0,Y,고려택배,X,0.054
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-636,1011853,인원약국,서울,서울 중구 중림동 732,중구 ,126.9638318,37.55902544,5000004,까스활명수큐액 75ML(50),K096,120,120,1,0,Y,고려택배,X,0.027
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,고양-29,1011866,삼정약국,경기,경기 고양시 덕양구 행신동 180-1 상가6호,고양시,126.8432315,37.61912237,5000004,까스활명수큐액 75ML(50),K096,120,240,2,0,Y,고려택배,X,0.054
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-548,1011867,백경약국,서울,서울 용산구 원효로3가 46-3,용산구,126.9595647,37.53492356,5000004,까스활명수큐액 75ML(50),K096,120,600,5,0,Y,고려택배,X,0.135
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-620,1012100,현대약국,서울,서울 종로구 무악동 현대단지내상가 1층 112-304,종로구,126.9587839,37.57680168,5000004,까스활명수큐액 75ML(50),K096,120,360,3,0,Y,고려택배,X,0.081
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-620,1012100,현대약국,서울,서울 종로구 무악동 현대단지내상가 1층 112-304,종로구,126.9587839,37.57680168,5000012,부채표쌍화탕 100ML,K042,100,300,3,0,Y,고려택배,X,0.081
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-596,1012151,희망약국,서울,서울 은평구 대조동 224-26,은평구,126.9177896,37.61116378,5000039,부채표쌍화천 100ML,K129,100,300,3,0,Y,고려택배,X,0.081
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-332,1012207,안생약국,서울,서울 마포구 상수동 331-11,마포구,126.9231103,37.54632005,5000004,까스활명수큐액 75ML(50),K096,120,240,2,0,Y,고려택배,X,0.054
